,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
16997,1443.0,es_3901,2019,MCT-PLS13 ,1F-1,N,20,18,9,47,True,True,0,0,1.0,0.0,1.0,False
16998,1444.0,es_7473,2019,ECA-PLS13 ,,N,10,8,6,24,True,False,10,0,0.0,0.0,0.0,False
17001,1447.0,es_6944,2019,CIV-PLS13 ,,N,8,16,8,32,True,False,14,0,0.0,0.0,0.0,False
17002,1448.0,es_9784,2019,ELE-PLS13 ,1F-4,S,23,24,10,57,True,True,0,0,4.0,0.0,4.0,True
17003,1449.0,es_7474,2019,ELE-PLS13 ,,N,0,0,5,5,False,False,0,0,0.0,0.0,0.0,False
17004,1450.0,es_6953,2019,CIV-PLS13 ,,N,7,15,9,31,True,False,26,0,0.0,0.0,0.0,False
17005,1451.0,es_7475,2019,MEC-PLS13 ,,N,11,16,8,35,True,True,0,0,0.0,0.0,0.0,False
17006,1452.0,es_9785,2019,CIV-PLS13 ,1F-1,N,12,16,9,37,True,True,0,0,1.0,0.0,1.0,False
17007,1453.0,es_6962,2019,ELE-PLS13 ,,N,11,15,5,31,False,False,30,0,0.0,0.0,0.0,False
17008,1454.0,es_9786,2019,ECA-PLS13 ,1F-5,S,24,31,10,65,True,True,0,0,5.0,0.0,5.0,True
17009,1455.0,es_9787,2019,MCT-PLS13 ,1F-5,S,18,32,10,60,True,True,0,0,5.0,0.0,5.0,True
17010,1456.0,es_9788,2019,CIV-PLS13 ,1F-4,S,15,27,8,50,True,True,0,0,4.0,0.0,4.0,True
17012,1458.0,es_9790,2019,ELE-PLS13 ,1F-4,S,12,22,10,44,True,True,0,0,4.0,0.0,4.0,True
17013,1459.0,es_6974,2019,CIV-PLS13 ,1F-1,N,10,21,10,41,True,True,0,0,1.0,0.0,1.0,False
17014,1460.0,es_6977,2019,ELE-PLS13 ,1F-5,S,16,27,8,51,True,True,0,0,5.0,0.0,5.0,True
17015,1461.0,es_9791,2019,MEC-PLS13 ,,N,10,9,5,24,False,False,6,0,0.0,0.0,0.0,False
17016,1462.0,es_9792,2019,MCT-PLS13 ,,N,9,11,10,30,True,False,44,0,0.0,0.0,0.0,False
17017,1463.0,es_9793,2019,CIV-PLS13 ,1F-1,N,11,19,7,37,True,True,0,0,1.0,0.0,1.0,False
17018,1464.0,es_9794,2019,MCT-PLS13 ,1F-4,S,13,28,9,50,True,True,0,0,4.0,0.0,4.0,True
17019,1465.0,es_9707,2019,CIV-PLS13 ,,N,10,10,7,27,True,False,20,0,0.0,0.0,0.0,False
17020,1466.0,es_9795,2019,ELE-PLS13 ,1F-4,S,17,29,10,56,True,True,0,0,4.0,0.0,4.0,True
17021,1467.0,es_6987,2019,ELE-PLS13 ,,N,11,0,4,15,False,False,0,0,0.0,0.0,0.0,False
17023,1469.0,es_9796,2019,MCT-PLS13 ,1F-2,S,10,18,10,38,True,True,0,0,2.0,0.0,2.0,True
17024,1470.0,es_7686,2019,ELE-PLS13 ,,N,0,0,4,4,False,False,0,0,0.0,0.0,0.0,False
17026,1472.0,es_6999,2019,CIV-PLS13 ,1F-1,N,12,24,7,43,True,True,0,0,1.0,0.0,1.0,False
17027,1473.0,es_7000,2019,ELE-PLS13 ,1F-1,N,15,21,8,44,True,True,0,0,1.0,0.0,1.0,False
17028,1474.0,es_7001,2019,IND-PLS13 ,1F-2,S,12,24,9,45,True,True,0,0,2.0,0.0,2.0,True
17029,1475.0,es_9797,2019,CGF-PLS13 ,,N,8,2,7,17,True,False,0,0,0.0,0.0,0.0,False
17030,1476.0,es_9798,2019,MCT-PLS13 ,,N,12,0,5,17,False,False,0,0,0.0,0.0,0.0,False
17031,1477.0,es_9799,2019,ELE-PLS13 ,1F-2,S,11,27,10,48,True,True,0,0,2.0,0.0,2.0,True
17032,1478.0,es_9800,2019,ELE-PLS13 ,1F-3,S,13,26,9,48,True,True,0,0,3.0,0.0,3.0,True
