Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,19,21,0,1,1,0,0,es_6026,5.0
2017,1,13008,CALCULO 2,1,17,20,0,1,1,0,0,es_6030,2.0
2017,1,13008,CALCULO 2,1,20,15,0,1,1,0,0,es_5348,3.0
2017,1,13008,CALCULO 2,1,22,16,0,1,1,0,0,es_6041,3.0
2017,1,13008,CALCULO 2,1,23,28,0,1,1,0,0,es_6043,5.0
2017,1,13008,CALCULO 2,1,21,8,0,1,1,0,0,es_6044,4.0
2017,1,13008,CALCULO 2,0,18,6,0,0,0,0,0,es_6045,0.0
2017,1,13008,CALCULO 2,1,20,19,0,1,1,0,0,es_6048,4.0
2017,1,13008,CALCULO 2,1,15,11,0,1,1,0,0,es_6049,3.0
2017,1,13008,CALCULO 2,1,14,27,0,1,1,0,0,es_4807,4.0
2017,1,13008,CALCULO 2,1,21,30,0,1,1,0,0,es_6056,5.0
2017,1,13008,CALCULO 2,1,23,16,0,1,1,0,0,es_6057,4.0
2017,1,13008,CALCULO 2,1,22,12,0,1,1,0,0,es_6058,4.0
2017,1,13008,CALCULO 2,0,18,5,0,1,1,0,0,es_5357,1.0
2017,1,13008,CALCULO 2,1,20,25,0,1,1,0,0,es_5359,4.0
2017,1,13008,CALCULO 2,0,13,16,0,1,1,0,0,es_6060,0.0
2017,1,13008,CALCULO 2,1,17,12,0,1,1,0,0,es_5360,2.0
2017,1,13008,CALCULO 2,1,24,5,0,1,1,0,0,es_5362,3.0
2017,1,13008,CALCULO 2,1,24,32,0,1,1,0,0,es_6066,5.0
2017,1,13008,CALCULO 2,1,16,29,0,1,1,0,0,es_6070,5.0
2017,1,13008,CALCULO 2,1,20,25,0,1,1,0,0,es_5364,3.0
2017,1,13008,CALCULO 2,0,17,6,0,0,0,0,0,es_4465,0.0
2017,1,13008,CALCULO 2,1,17,19,0,1,1,0,0,es_4813,3.0
2017,1,13008,CALCULO 2,1,16,24,0,1,1,0,0,es_6074,4.0
2017,1,13008,CALCULO 2,1,24,25,0,1,1,0,0,es_6077,5.0
2017,1,13008,CALCULO 2,1,21,19,0,1,1,0,0,es_6080,4.0
2017,1,13008,CALCULO 2,1,14,26,0,1,1,0,0,es_5374,3.0
2017,1,13008,CALCULO 2,0,16,0,0,0,0,0,0,es_5375,0.0
2017,1,13008,CALCULO 2,1,18,17,0,1,1,0,0,es_5376,3.0
2017,1,13008,CALCULO 2,1,24,23,0,1,1,0,0,es_5380,5.0
2017,1,13008,CALCULO 2,0,13,7,0,0,0,0,0,es_5386,0.0
2017,1,13008,CALCULO 2,0,21,0,0,0,0,0,0,es_5388,0.0
2017,1,13008,CALCULO 2,0,15,3,0,0,0,0,0,es_5389,0.0
2017,1,13008,CALCULO 2,0,19,0,0,0,0,0,0,es_6099,0.0
2017,1,13008,CALCULO 2,0,16,2,0,0,0,0,0,es_5391,0.0
2017,1,13008,CALCULO 2,0,19,3,0,0,0,0,0,es_6101,0.0
2017,1,13008,CALCULO 2,1,20,30,0,1,1,0,0,es_5396,5.0
2017,1,13008,CALCULO 2,0,14,9,0,1,1,0,0,es_6105,0.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4825,1.0
2017,1,13008,CALCULO 2,1,14,17,0,1,1,0,0,es_5407,2.0
2017,1,13008,CALCULO 2,1,24,22,0,1,1,0,0,es_6117,4.0
2017,1,13008,CALCULO 2,1,20,30,0,1,1,0,0,es_6118,5.0
2017,1,13008,CALCULO 2,0,20,11,0,1,1,0,0,es_4830,1.0
2017,1,13008,CALCULO 2,1,22,23,0,1,1,0,0,es_6123,4.0
2017,1,13008,CALCULO 2,1,14,22,0,1,1,0,0,es_6124,4.0
2017,1,13008,CALCULO 2,1,14,20,0,1,1,0,0,es_5413,2.0
2017,1,13008,CALCULO 2,0,16,22,0,1,1,0,0,es_6128,0.0
