,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
13485,1153.0,es_5240,2019,CIV-PLS13 ,2F-2,S,7,18,0,25,False,False,28,0,2.0,0.0,2.0,True
13486,1154.0,es_5247,2019,MCT-PLS13 ,1F-5,S,10,29,0,39,False,False,0,0,5.0,0.0,5.0,True
13487,1155.0,es_5251,2019,CIV-PLS13 ,2F-1,N,7,21,0,28,False,False,0,0,1.0,0.0,1.0,False
13488,1156.0,es_5277,2019,CIV-PLS13 ,"1F-1,2F-2",S,8,19,0,27,False,False,0,0,1.0,2.0,2.0,True
13489,1157.0,es_4427,2019,MEC-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13490,1158.0,es_5298,2019,ELE-PLS13 ,,N,7,7,0,14,False,False,0,0,0.0,0.0,0.0,False
13491,1159.0,es_5308,2019,IND-PLS13 ,1F-5,S,14,33,0,47,False,False,0,0,5.0,0.0,5.0,True
13492,1160.0,es_8857,2019,ELE-PLS13 ,1F-4,S,8,30,0,38,False,False,0,0,4.0,0.0,4.0,True
13493,1161.0,es_1353,2019,CIV-PLS13 ,,N,7,14,0,21,False,False,42,0,0.0,0.0,0.0,False
13494,1162.0,es_5990,2019,CIV-PLS13 ,1F-5,S,15,26,0,41,False,False,0,0,5.0,0.0,5.0,True
13495,1163.0,es_6021,2019,CIV-PLS13 ,1F-3,S,0,0,0,0,False,False,0,0,3.0,0.0,3.0,True
13496,1164.0,es_4799,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13497,1165.0,es_4152,2019,CGF-PLS13 ,,N,2,0,0,2,False,False,0,0,0.0,0.0,0.0,False
13498,1166.0,es_5348,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13499,1167.0,es_5351,2019,CIV-PLS13 ,2F-3,S,0,0,0,0,False,False,0,0,3.0,0.0,3.0,True
13500,1168.0,es_6045,2019,CIV-PLS13 ,1F-3,S,10,19,0,29,False,False,0,0,3.0,0.0,3.0,True
13501,1169.0,es_6060,2019,ELE-PLS13 ,1F-1,N,6,20,0,26,False,False,0,0,1.0,0.0,1.0,False
13502,1170.0,es_4167,2019,ELE-PLS13 ,,N,7,0,0,7,False,False,0,0,0.0,0.0,0.0,False
13503,1171.0,es_5380,2019,ELE-PLS13 ,2F-2,S,12,14,0,26,False,False,32,0,2.0,0.0,2.0,True
13504,1172.0,es_6098,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13505,1173.0,es_5395,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13506,1174.0,es_5404,2019,CIV-PLS13 ,2F-1,N,8,0,0,8,False,False,0,0,1.0,0.0,1.0,False
13507,1175.0,es_8810,2019,ELE-PLS13 ,,N,8,0,0,8,False,False,0,0,0.0,0.0,0.0,False
13508,1176.0,es_5413,2019,ELE-PLS13 ,"1F-1,2F-2",S,0,0,0,0,False,False,0,0,1.0,2.0,2.0,True
13509,1177.0,es_4180,2019,CIV-PLS13 ,,N,3,0,0,3,False,False,0,0,0.0,0.0,0.0,False
13510,1178.0,es_4835,2019,CGF-PLS13 ,2F-2,S,6,15,0,21,False,False,28,0,2.0,0.0,2.0,True
13511,1179.0,es_5425,2019,MCT-PLS13 ,2F-4,S,10,12,0,22,False,False,46,0,4.0,0.0,4.0,True
13512,1180.0,es_5426,2019,MCT-PLS13 ,2F-1,N,10,23,0,33,False,False,0,0,1.0,0.0,1.0,False
13513,1181.0,es_5429,2019,CGF-PLS13 ,2F-1,N,5,10,0,15,False,False,26,0,1.0,0.0,1.0,False
13514,1182.0,es_4185,2019,CIV-PLS13 ,2F-4,S,5,18,0,23,False,False,50,0,4.0,0.0,4.0,True
13515,1183.0,es_5438,2019,CGF-PLS13 ,1F-5,S,11,26,0,37,False,False,0,0,5.0,0.0,5.0,True
