1P,2P,Taller,Aprobado
11,18,7,0
20,11,7,0
16,14,7,1
15,24,10,0
13,15,4,0
18,20,8,1
22,16,8,1
18,0,7,0
0,23,8,0
14,18,9,1
20,11,4,0
14,5,8,0
22,13,7,1
18,23,9,1
7,15,6,0
18,19,6,1
11,11,6,0
6,12,7,0
6,11,5,0
10,8,4,0
9,10,5,0
11,17,9,1
9,20,7,1
14,1,9,0
5,10,4,0
11,10,7,0
15,10,5,0
8,8,9,0
6,12,3,0
9,18,5,0
8,8,5,0
10,6,3,0
6,9,5,0
11,13,5,0
22,29,9,1
4,12,7,0
10,6,2,0
6,9,8,0
14,13,8,0
8,20,10,0
11,12,9,0
7,11,7,0
9,7,5,0
11,7,8,0
17,23,9,1
9,12,8,0
11,8,8,0
13,9,7,0
12,18,8,1
12,15,9,0
7,12,9,0
6,21,8,0
13,11,5,0
12,16,7,0
10,17,5,0
12,15,8,0
9,10,8,0
4,15,6,0
11,18,8,0
17,25,10,1
6,15,8,0
10,14,8,0
6,16,6,0
10,8,6,0
6,11,5,0
7,23,5,0
13,16,2,0
8,9,5,0
12,19,8,0
11,9,9,0
9,6,2,0
10,9,8,0
0,15,7,0
18,22,9,1
6,19,3,0
15,7,4,0
7,12,5,0
9,8,2,0
0,18,2,0
7,8,8,0
7,8,8,0
12,20,7,1
15,12,8,1
13,22,9,1
7,15,7,0
11,6,7,0
6,18,6,0
5,11,6,0
13,20,7,0
6,9,6,0
12,9,5,0
14,27,9,1
13,12,5,0
7,20,8,0
0,16,9,0
15,16,8,0
10,8,4,0
11,5,7,0
14,22,6,1
11,14,10,1
8,14,2,0
11,17,3,0
6,10,3,0
15,19,3,1
5,10,2,0
13,24,5,0
7,10,4,0
6,9,4,0
8,17,4,0
6,12,5,0
9,10,5,0
10,8,2,0
9,12,2,0
10,17,5,0
3,13,4,0
5,10,7,0
8,10,3,0
8,15,4,0
11,20,4,0
9,9,4,0
13,22,5,0
8,14,5,0
14,13,5,0
7,11,4,0
11,22,2,1
4,11,4,0
5,15,2,0
9,8,5,0
5,11,4,0
11,14,5,0
7,10,3,0
10,9,4,0
15,20,3,1
9,17,4,0
18,12,5,0
13,18,4,0
13,20,5,0
5,10,4,0
7,12,6,0
7,8,2,0
7,18,4,0
14,23,5,0
8,7,2,0
9,14,5,0
13,18,5,0
8,8,4,0
12,17,2,0
11,14,4,0
5,13,6,0
12,11,6,0
8,7,3,0
9,11,4,0
10,5,5,0
6,9,4,0
11,11,3,0
6,9,4,0
10,11,5,0
11,15,2,0
12,20,5,0
12,20,3,0
12,8,7,0
7,10,2,0
14,22,4,1
7,15,3,0
9,18,4,0
11,22,5,0
9,9,4,0
10,22,6,1
10,12,5,0
12,15,2,0
14,22,4,0
7,10,4,0
7,21,2,0
16,25,5,1
14,23,4,0
7,8,2,0
8,9,2,0
10,17,3,0
9,12,2,0
12,12,3,0
