,Unnamed: 0,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
327,4782,CIV-PLS13 ,1,2017,13,18,0,0,0,"1F-1,2F-2"
328,4783,CIV-PLS13 ,1,2017,14,11,0,28,0,2F-3
329,4784,ELE-PLS13 ,0,2017,10,16,0,16,29,
330,4785,CIV-PLS13 ,1,2017,15,16,0,0,0,"1F-1,2F-3"
331,4786,ELE-PLS13 ,0,2016,8,0,0,0,0,
332,4787,CIV-PLS13 ,1,2017,17,14,0,26,42,3F-3
333,4788,IND-PLS13 ,0,0,6,13,0,10,16,
334,4789,IND-PLS13 ,1,2017,11,21,0,0,0,"1F-1,2F-2"
335,4790,ELE-PLS13 ,0,0,3,12,0,22,14,
336,4791,CIV-PLS13 ,0,2017,9,10,0,25,32,3F-1
337,4792,ELE-PLS13 ,0,2017,15,10,0,21,30,3F-1
338,4793,ELE-PLS13 ,1,2017,8,21,0,27,34,3F-2
339,4794,ELE-PLS13 ,0,0,4,6,0,0,0,
340,4795,ELE-PLS13 ,0,0,0,0,0,0,0,
341,4796,ELE-PLS13 ,1,2017,12,17,0,29,0,2F-2
342,4797,ELE-PLS13 ,0,0,11,13,0,0,0,
343,4798,CIV-PLS13 ,0,2017,5,17,0,25,40,3F-1
344,4799,CIV-PLS13 ,0,0,0,8,0,0,0,
345,4800,MCT-PLS13 ,1,2017,14,8,0,33,0,2F-3
346,4801,IND-PLS13 ,0,0,10,10,0,4,0,
347,4802,ELE-PLS13 ,0,0,7,9,0,28,27,
348,4803,CIV-PLS13 ,0,2017,12,23,0,0,0,"1F-1,2F-1,3F-1"
349,4804,ELE-PLS13 ,0,0,0,0,0,0,0,
350,4805,CIV-PLS13 ,0,0,0,0,0,0,0,
351,4806,ELE-PLS13 ,0,0,5,11,0,16,28,
352,4807,CIV-PLS13 ,0,0,5,0,0,0,0,
353,4808,CIV-PLS13 ,0,0,14,14,0,26,26,
354,4809,CIV-PLS13 ,0,2017,12,3,0,12,28,3F-1
355,4810,CIV-PLS13 ,1,2017,11,15,0,29,0,2F-2
356,4811,MCT-PLS13 ,1,2017,14,13,0,33,0,2F-2
357,4812,IND-PLS13 ,0,0,6,7,0,0,0,
358,4813,CIV-PLS13 ,0,0,8,7,0,20,25,
359,4814,ELE-PLS13 ,0,0,6,9,0,26,24,
360,4815,CIV-PLS13 ,0,0,0,0,0,0,0,
361,4816,MCT-PLS13 ,0,0,10,10,0,12,18,
362,4817,MCT-PLS13 ,1,2017,12,17,0,0,0,1F-2
363,4818,CIV-PLS13 ,0,2017,11,4,0,20,34,3F-1
364,4819,CIV-PLS13 ,0,0,10,9,0,8,20,
365,4820,MCT-PLS13 ,1,2017,19,17,0,0,0,"1F-1,2F-1,3F-3"
366,4821,IND-PLS13 ,0,0,4,16,0,23,6,
367,4822,IND-PLS13 ,0,0,1,15,0,0,2,
368,4823,ELE-PLS13 ,0,2017,8,18,0,26,30,3F-1
369,4824,IND-PLS13 ,0,0,5,11,0,18,14,
370,4825,CIV-PLS13 ,0,0,4,0,0,0,0,
371,4826,MCT-PLS13 ,0,0,9,0,0,0,0,
372,4827,IND-PLS13 ,0,0,6,9,0,4,10,
373,4828,CIV-PLS13 ,0,0,9,10,0,18,20,
374,4829,CIV-PLS13 ,0,0,5,7,0,0,0,
375,4830,IND-PLS13 ,0,0,6,2,0,0,0,
376,4831,ELE-PLS13 ,0,0,13,11,0,28,26,
377,4832,CIV-PLS13 ,1,2017,17,22,0,0,0,1F-3
378,4833,CIV-PLS13 ,0,0,8,9,0,16,4,
379,4834,CIV-PLS13 ,1,2017,21,31,0,0,0,1F-5
380,4835,MCT-PLS13 ,1,2017,8,19,0,30,0,2F-2
381,4836,IND-PLS13 ,0,0,10,18,0,20,14,
382,4837,CIV-PLS13 ,0,0,0,0,0,0,0,
383,4838,CIV-PLS13 ,0,0,4,0,0,0,0,
384,4839,CIV-PLS13 ,0,0,11,16,0,25,22,
385,4840,CIV-PLS13 ,0,2017,9,12,0,14,32,3F-1
386,4841,MEC-PLS13 ,1,2017,11,18,0,16,26,3F-2
387,4842,MEC-PLS13 ,0,0,8,7,0,20,12,
388,4843,MCT-PLS13 ,0,0,4,11,0,15,6,
389,4844,ELE-PLS13 ,0,0,7,15,0,17,16,
390,4845,IND-PLS13 ,0,2016,0,0,0,0,0,3F-1
391,4846,MCT-PLS13 ,1,2017,16,11,0,31,0,2F-2
